key,pressed,released,user,hold_time,press_press_time,press_release_time,release_release_time
[space],2021-10-20 11:19:28.153550,2021-10-20 11:19:28.287032,zihao,133482.0,318163.0,184681.0,318100.0
i,2021-10-20 11:19:28.471713,2021-10-20 11:19:28.605132,zihao,133419.0,109906.0,-23513.0,120888.0
s,2021-10-20 11:19:28.581619,2021-10-20 11:19:28.726020,zihao,144401.0,88387.0,-56014.0,90023.0
[space],2021-10-20 11:19:28.670006,2021-10-20 11:19:28.816043,zihao,146037.0,278041.0,132004.0,299200.0
p,2021-10-20 11:19:28.948047,2021-10-20 11:19:29.115243,zihao,167196.0,212062.0,44866.0,189461.0
r,2021-10-20 11:19:29.160109,2021-10-20 11:19:29.304704,zihao,144595.0,60566.0,-84029.0,44773.0
o,2021-10-20 11:19:29.220675,2021-10-20 11:19:29.349477,zihao,128802.0,226387.0,97585.0,259347.0
b,2021-10-20 11:19:29.447062,2021-10-20 11:19:29.608824,zihao,161762.0,187120.0,25358.0,170168.0
a,2021-10-20 11:19:29.634182,2021-10-20 11:19:29.778992,zihao,144810.0,131904.0,-12906.0,127461.0
b,2021-10-20 11:19:29.766086,2021-10-20 11:19:29.906453,zihao,140367.0,218366.0,77999.0,205603.0
l,2021-10-20 11:19:29.984452,2021-10-20 11:19:30.112056,zihao,127604.0,221442.0,93838.0,260788.0
y,2021-10-20 11:19:30.205894,2021-10-20 11:19:30.372844,zihao,166950.0,231444.0,64494.0,187957.0
[space],2021-10-20 11:19:30.437338,2021-10-20 11:19:30.560801,zihao,123463.0,334516.0,211053.0,351409.0
t,2021-10-20 11:19:30.771854,2021-10-20 11:19:30.912210,zihao,140356.0,133553.0,-6803.0,121826.0
h,2021-10-20 11:19:30.905407,2021-10-20 11:19:31.034036,zihao,128629.0,72166.0,-56463.0,94836.0
e,2021-10-20 11:19:30.977573,2021-10-20 11:19:31.128872,zihao,151299.0,542148.0,390849.0,526991.0
[space],2021-10-20 11:19:31.519721,2021-10-20 11:19:31.655863,zihao,136142.0,888315.0,752173.0,915019.0
t,2021-10-20 11:19:32.408036,2021-10-20 11:19:32.570882,zihao,162846.0,110830.0,-52016.0,88404.0
h,2021-10-20 11:19:32.518866,2021-10-20 11:19:32.659286,zihao,140420.0,150800.0,10380.0,121062.0
i,2021-10-20 11:19:32.669666,2021-10-20 11:19:32.780348,zihao,110682.0,136661.0,25979.0,174940.0
r,2021-10-20 11:19:32.806327,2021-10-20 11:19:32.955288,zihao,148961.0,763482.0,614521.0,758989.0
t,2021-10-20 11:19:33.569809,2021-10-20 11:19:33.714277,zihao,144468.0,162216.0,17748.0,141295.0
y,2021-10-20 11:19:33.732025,2021-10-20 11:19:33.855572,zihao,123547.0,730692.0,607145.0,651093.0
0,2021-10-20 11:19:34.462717,2021-10-20 11:19:34.506665,zihao,43948.0,568771.0,524823.0,697379.0
[num_lock],2021-10-20 11:19:35.031488,2021-10-20 11:19:35.204044,zihao,172556.0,248317.0,75761.0,209120.0
-,2021-10-20 11:19:35.279805,2021-10-20 11:19:35.413164,zihao,133359.0,186036.0,52677.0,185520.0
f,2021-10-20 11:19:35.465841,2021-10-20 11:19:35.598684,zihao,132843.0,128931.0,-3912.0,162046.0
i,2021-10-20 11:19:35.594772,2021-10-20 11:19:35.760730,zihao,165958.0,181765.0,15807.0,160973.0
v,2021-10-20 11:19:35.776537,2021-10-20 11:19:35.921703,zihao,145166.0,116709.0,-28457.0,109469.0
