,key,pressed,released,user
60,[space],2021-10-20 10:12:31 584522,2021-10-20 10:12:31 693867,Alex
357,f,2021-10-20 10:12:31 771980,2021-10-20 10:12:31 865683,Alex
311,i,2021-10-20 10:12:31 849950,2021-10-20 10:12:31 990669,Alex
347,v,2021-10-20 10:12:32 053160,2021-10-20 10:12:32 209377,Alex
249,e,2021-10-20 10:12:32 146890,2021-10-20 10:12:32 318708,Alex
61,[space],2021-10-20 10:12:32 240611,2021-10-20 10:12:32 381210,Alex
203,l,2021-10-20 10:12:32 521789,2021-10-20 10:12:32 646767,Alex
250,e,2021-10-20 10:12:32 631012,2021-10-20 10:12:32 787354,Alex
289,t,2021-10-20 10:12:32 724875,2021-10-20 10:12:32 818592,Alex
290,t,2021-10-20 10:12:32 881092,2021-10-20 10:12:33 006052,Alex
251,e,2021-10-20 10:12:32 974816,2021-10-20 10:12:33 177758,Alex
140,r,2021-10-20 10:12:33 099766,2021-10-20 10:12:33 224622,Alex
62,[space],2021-10-20 10:12:33 162272,2021-10-20 10:12:33 287236,Alex
204,l,2021-10-20 10:12:33 255997,2021-10-20 10:12:33 334094,Alex
165,o,2021-10-20 10:12:33 459107,2021-10-20 10:12:33 693397,Alex
116,n,2021-10-20 10:12:33 584033,2021-10-20 10:12:33 724639,Alex
127,g,2021-10-20 10:12:33 677776,2021-10-20 10:12:33 833977,Alex
63,[space],2021-10-20 10:12:33 787118,2021-10-20 10:12:33 912097,Alex
4,[maj],2021-10-20 10:12:34 083935,2021-10-20 10:12:34 302621,Alex
291,t,2021-10-20 10:12:34 224523,2021-10-20 10:12:34 318239,Alex
187,h,2021-10-20 10:12:34 380713,2021-10-20 10:12:34 505703,Alex
252,e,2021-10-20 10:12:34 474463,2021-10-20 10:12:34 646302,Alex
64,[space],2021-10-20 10:12:34 583808,2021-10-20 10:12:34 724306,Alex
368,q,2021-10-20 10:12:34 864998,2021-10-20 10:12:34 989964,Alex
364,u,2021-10-20 10:12:34 943102,2021-10-20 10:12:35 099181,Alex
312,i,2021-10-20 10:12:35 052446,2021-10-20 10:12:35 177313,Alex
324,c,2021-10-20 10:12:35 177313,2021-10-20 10:12:35 255533,Alex
370,k,2021-10-20 10:12:35 318009,2021-10-20 10:12:35 442884,Alex
65,[space],2021-10-20 10:12:35 427365,2021-10-20 10:12:35 552328,Alex
227,b,2021-10-20 10:12:35 755416,2021-10-20 10:12:35 864746,Alex
141,r,2021-10-20 10:12:35 914842,2021-10-20 10:12:36 039948,Alex
166,o,2021-10-20 10:12:36 118057,2021-10-20 10:12:36 227405,Alex
371,w,2021-10-20 10:12:36 274270,2021-10-20 10:12:36 399231,Alex
117,n,2021-10-20 10:12:36 492968,2021-10-20 10:12:36 602311,Alex
66,[space],2021-10-20 10:12:36 836636,2021-10-20 10:12:36 961472,Alex
128,g,2021-10-20 10:12:37 133435,2021-10-20 10:12:37 195912,Alex
167,o,2021-10-20 10:12:37 242792,2021-10-20 10:12:37 352136,Alex
376,x,2021-10-20 10:12:37 477009,2021-10-20 10:12:37 664568,Alex
67,[space],2021-10-20 10:12:37 664568,2021-10-20 10:12:37 773917,Alex
215,[backspace],2021-10-20 10:12:37 836400,2021-10-20 10:12:37 898877,Alex
216,[backspace],2021-10-20 10:12:37 992559,2021-10-20 10:12:38 039477,Alex
217,[backspace],2021-10-20 10:12:38 117580,2021-10-20 10:12:38 164444,Alex
218,[backspace],2021-10-20 10:12:38 242422,2021-10-20 10:12:38 320662,Alex
358,f,2021-10-20 10:12:38 508123,2021-10-20 10:12:38 633084,Alex
168,o,2021-10-20 10:12:38 633084,2021-10-20 10:12:38 742308,Alex
377,x,2021-10-20 10:12:38 758050,2021-10-20 10:12:38 898644,Alex
68,[space],2021-10-20 10:12:38 867404,2021-10-20 10:12:38 992244,Alex
379,j,2021-10-20 10:12:39 164208,2021-10-20 10:12:39 304810,Alex
365,u,2021-10-20 10:12:39 414157,2021-10-20 10:12:39 492125,Alex
153,m,2021-10-20 10:12:39 664091,2021-10-20 10:12:39 757693,Alex
103,p,2021-10-20 10:12:39 867191,2021-10-20 10:12:39 960888,Alex
336,s,2021-10-20 10:12:39 960888,2021-10-20 10:12:40 132731,Alex
69,[space],2021-10-20 10:12:40 085870,2021-10-20 10:12:40 242073,Alex
169,o,2021-10-20 10:12:40 445166,2021-10-20 10:12:40 570132,Alex
348,v,2021-10-20 10:12:40 585752,2021-10-20 10:12:40 726210,Alex
253,e,2021-10-20 10:12:40 710719,2021-10-20 10:12:40 913797,Alex
142,r,2021-10-20 10:12:40 851316,2021-10-20 10:12:40 945036,Alex
70,[space],2021-10-20 10:12:40 960528,2021-10-20 10:12:41 116876,Alex
292,t,2021-10-20 10:12:41 116876,2021-10-20 10:12:41 210600,Alex
188,h,2021-10-20 10:12:41 210600,2021-10-20 10:12:41 319956,Alex
254,e,2021-10-20 10:12:41 335572,2021-10-20 10:12:41 522929,Alex
71,[space],2021-10-20 10:12:41 444919,2021-10-20 10:12:41 585518,Alex
205,l,2021-10-20 10:12:41 851082,2021-10-20 10:12:41 991661,Alex
380,z,2021-10-20 10:12:42 382207,2021-10-20 10:12:42 507160,Alex
219,[backspace],2021-10-20 10:12:42 975810,2021-10-20 10:12:43 053791,Alex
26,a,2021-10-20 10:12:43 085167,2021-10-20 10:12:43 241367,Alex
381,z,2021-10-20 10:12:43 288226,2021-10-20 10:12:43 444455,Alex
353,y,2021-10-20 10:12:44 022427,2021-10-20 10:12:44 116171,Alex
72,[space],2021-10-20 10:12:44 131788,2021-10-20 10:12:44 272374,Alex
382,d,2021-10-20 10:12:44 412981,2021-10-20 10:12:44 444084,Alex
129,g,2021-10-20 10:12:44 803516,2021-10-20 10:12:44 912858,Alex
220,[backspace],2021-10-20 10:12:45 162804,2021-10-20 10:12:45 256519,Alex
170,o,2021-10-20 10:12:45 256519,2021-10-20 10:12:45 397131,Alex
130,g,2021-10-20 10:12:45 334504,2021-10-20 10:12:45 443985,Alex
73,[space],2021-10-20 10:12:45 600099,2021-10-20 10:12:45 725163,Alex
372,w,2021-10-20 10:12:46 115703,2021-10-20 10:12:46 240569,Alex
189,h,2021-10-20 10:12:46 225045,2021-10-20 10:12:46 396749,Alex
313,i,2021-10-20 10:12:46 334267,2021-10-20 10:12:46 443749,Alex
325,c,2021-10-20 10:12:46 412505,2021-10-20 10:12:46 521847,Alex
190,h,2021-10-20 10:12:46 521847,2021-10-20 10:12:46 615586,Alex
74,[space],2021-10-20 10:12:46 631203,2021-10-20 10:12:46 756168,Alex
191,h,2021-10-20 10:12:46 756168,2021-10-20 10:12:46 865523,Alex
27,a,2021-10-20 10:12:46 834262,2021-10-20 10:12:46 976868,Alex
