key,user,hold_time,press_press_time,press_release_time,release_release_time
l,alex,124958.0,109343.0,-15615.0,140610.0
a,alex,156225.0,109362.0,-46863.0,109339.0
t,alex,156202.0,93716.0,-62486.0,124978.0
e,alex,187464.0,93603.0,-93861.0,66558.0
[space],alex,160419.0,478412.0,317993.0,458449.0
1,alex,140456.0,124960.0,-15496.0,156216.0
8,alex,171712.0,156225.0,-15487.0,125092.0
0,alex,140579.0,203078.0,62499.0,265575.0
0,alex,203076.0,203076.0,0.0,140590.0
s,alex,140590.0,1462067.0,1321477.0,1399607.0
[space],alex,78130.0,124986.0,46856.0,437395.0
[maj],alex,390539.0,218700.0,-171839.0,-46884.0
w,alex,124955.0,468642.0,343687.0,468647.0
h,alex,124960.0,124960.0,0.0,109359.0
e,alex,109359.0,124846.0,15487.0,171821.0
n,alex,156334.0,156334.0,0.0,156223.0
[space],alex,156223.0,406152.0,249929.0,359274.0
c,alex,109345.0,78115.0,-31230.0,62507.0
o,alex,93737.0,218572.0,124835.0,156204.0
m,alex,31369.0,125105.0,93736.0,203084.0
p,alex,109348.0,109348.0,0.0,156216.0
a,alex,156216.0,93709.0,-62507.0,62480.0
r,alex,124987.0,140596.0,15609.0,234323.0
i,alex,218714.0,109345.0,-109369.0,46863.0
n,alex,156232.0,109369.0,-46863.0,93714.0
g,alex,140577.0,93723.0,-46854.0,78113.0
[space],alex,124967.0,156221.0,31254.0,140589.0
t,alex,109335.0,78097.0,-31238.0,78120.0
h,alex,109358.0,109358.0,0.0,171824.0
e,alex,171824.0,78109.0,-93715.0,78116.0
[space],alex,171831.0,484159.0,312328.0,406151.0
t,alex,93823.0,234418.0,140595.0,265557.0
w,alex,124962.0,140586.0,15624.0,140603.0
o,alex,124979.0,218710.0,93731.0,203077.0
[space],alex,109346.0,249933.0,140587.0,249897.0
b,alex,109310.0,124973.0,15663.0,140630.0
r,alex,124967.0,124967.0,0.0,109219.0
o,alex,109219.0,124839.0,15620.0,140730.0
w,alex,125110.0,250082.0,124972.0,234313.0
s,alex,109341.0,203092.0,93751.0,218709.0
e,alex,124958.0,78088.0,-46870.0,78093.0
r,alex,124963.0,156204.0,31241.0,203079.0
s,alex,171838.0,109361.0,-62477.0,77976.0
[space],alex,140453.0,171818.0,31365.0,125104.0
b,alex,93739.0,156225.0,62486.0,171703.0
o,alex,109217.0,93593.0,-15624.0,78238.0
t,alex,93862.0,109349.0,15487.0,124963.0
h,alex,109476.0,109476.0,0.0,124983.0
[space],alex,124983.0,187469.0,62486.0,265557.0
[maj],alex,203071.0,93712.0,-109359.0,0.0
f,alex,109359.0,171844.0,62485.0,187444.0
i,alex,124959.0,218706.0,93747.0,249822.0
r,alex,156075.0,109342.0,-46733.0,31380.0
e,alex,78113.0,218704.0,140591.0,267416.0
f,alex,126825.0,236306.0,109481.0,234324.0
o,alex,124843.0,124843.0,0.0,125098.0
x,alex,125098.0,187582.0,62484.0,156231.0
