key,pressed,released,user,hold_time,press_press_time,press_release_time
i,2021-10-20 11:10:27.261563,2021-10-20 11:10:27.321071,zineb,59508.0,137542.0,78034.0
v,2021-10-20 11:10:27.399105,2021-10-20 11:10:27.499351,zineb,100246.0,52005.0,-48241.0
e,2021-10-20 11:10:27.451110,2021-10-20 11:10:27.529040,zineb,77930.0,115689.0,37759.0
[space],2021-10-20 11:10:27.566799,2021-10-20 11:10:27.627247,zineb,60448.0,134584.0,74136.0
l,2021-10-20 11:10:27.701383,2021-10-20 11:10:27.769617,zineb,68234.0,17235.0,-50999.0
e,2021-10-20 11:10:27.718618,2021-10-20 11:10:27.780568,zineb,61950.0,129012.0,67062.0
t,2021-10-20 11:10:27.847630,2021-10-20 11:10:27.889805,zineb,42175.0,121652.0,79477.0
t,2021-10-20 11:10:27.969282,2021-10-20 11:10:28.052862,zineb,83580.0,50348.0,-33232.0
e,2021-10-20 11:10:28.019630,2021-10-20 11:10:28.173469,zineb,153839.0,127863.0,-25976.0
r,2021-10-20 11:10:28.147493,2021-10-20 11:10:28.226464,zineb,78971.0,43969.0,-35002.0
[space],2021-10-20 11:10:28.191462,2021-10-20 11:10:28.260474,zineb,69012.0,165029.0,96017.0
l,2021-10-20 11:10:28.356491,2021-10-20 11:10:28.403995,zineb,47504.0,116482.0,68978.0
o,2021-10-20 11:10:28.472973,2021-10-20 11:10:28.595014,zineb,122041.0,83020.0,-39021.0
n,2021-10-20 11:10:28.555993,2021-10-20 11:10:28.647004,zineb,91011.0,71191.0,-19820.0
g,2021-10-20 11:10:28.627184,2021-10-20 11:10:28.730980,zineb,103796.0,132140.0,28344.0
[space],2021-10-20 11:10:28.759324,2021-10-20 11:10:28.846959,zineb,87635.0,138382.0,50747.0
t,2021-10-20 11:10:28.897706,2021-10-20 11:10:28.965444,zineb,67738.0,73728.0,5990.0
h,2021-10-20 11:10:28.971434,2021-10-20 11:10:29.036559,zineb,65125.0,96423.0,31298.0
e,2021-10-20 11:10:29.067857,2021-10-20 11:10:29.138875,zineb,71018.0,74112.0,3094.0
[space],2021-10-20 11:10:29.141969,2021-10-20 11:10:29.210587,zineb,68618.0,89266.0,20648.0
q,2021-10-20 11:10:29.231235,2021-10-20 11:10:29.327641,zineb,96406.0,115415.0,19009.0
u,2021-10-20 11:10:29.346650,2021-10-20 11:10:29.416853,zineb,70203.0,17998.0,-52205.0
i,2021-10-20 11:10:29.364648,2021-10-20 11:10:29.433191,zineb,68543.0,150999.0,82456.0
c,2021-10-20 11:10:29.515647,2021-10-20 11:10:29.608663,zineb,93016.0,80853.0,-12163.0
k,2021-10-20 11:10:29.596500,2021-10-20 11:10:29.655490,zineb,58990.0,147993.0,89003.0
[space],2021-10-20 11:10:29.744493,2021-10-20 11:10:29.811639,zineb,67146.0,169184.0,102038.0
b,2021-10-20 11:10:29.913677,2021-10-20 11:10:29.985692,zineb,72015.0,98202.0,26187.0
r,2021-10-20 11:10:30.011879,2021-10-20 11:10:30.058881,zineb,47002.0,84005.0,37003.0
o,2021-10-20 11:10:30.095884,2021-10-20 11:10:30.150877,zineb,54993.0,118697.0,63704.0
w,2021-10-20 11:10:30.214581,2021-10-20 11:10:30.300592,zineb,86011.0,76024.0,-9987.0
n,2021-10-20 11:10:30.290605,2021-10-20 11:10:30.345622,zineb,55017.0,140119.0,85102.0
[space],2021-10-20 11:10:30.430724,2021-10-20 11:10:30.491347,zineb,60623.0,98606.0,37983.0
f,2021-10-20 11:10:30.529330,2021-10-20 11:10:30.599120,zineb,69790.0,108289.0,38499.0
o,2021-10-20 11:10:30.637619,2021-10-20 11:10:30.696635,zineb,59016.0,140113.0,81097.0
x,2021-10-20 11:10:30.777732,2021-10-20 11:10:30.842859,zineb,65127.0,112122.0,46995.0
[space],2021-10-20 11:10:30.889854,2021-10-20 11:10:30.960092,zineb,70238.0,294167.0,223929.0
j,2021-10-20 11:10:31.184021,2021-10-20 11:10:31.260693,zineb,76672.0,152970.0,76298.0
u,2021-10-20 11:10:31.336991,2021-10-20 11:10:31.411675,zineb,74684.0,157801.0,83117.0
m,2021-10-20 11:10:31.494792,2021-10-20 11:10:31.638494,zineb,143702.0,101989.0,-41713.0
p,2021-10-20 11:10:31.596781,2021-10-20 11:10:31.694598,zineb,97817.0,80737.0,-17080.0
s,2021-10-20 11:10:31.677518,2021-10-20 11:10:31.750926,zineb,73408.0,138094.0,64686.0
[space],2021-10-20 11:10:31.815612,2021-10-20 11:10:31.872475,zineb,56863.0,138125.0,81262.0
o,2021-10-20 11:10:31.953737,2021-10-20 11:10:32.036661,zineb,82924.0,87827.0,4903.0
v,2021-10-20 11:10:32.041564,2021-10-20 11:10:32.166262,zineb,124698.0,68222.0,-56476.0
e,2021-10-20 11:10:32.109786,2021-10-20 11:10:32.210669,zineb,100883.0,83423.0,-17460.0
r,2021-10-20 11:10:32.193209,2021-10-20 11:10:32.272866,zineb,79657.0,92408.0,12751.0
[space],2021-10-20 11:10:32.285617,2021-10-20 11:10:32.344677,zineb,59060.0,88086.0,29026.0
t,2021-10-20 11:10:32.373703,2021-10-20 11:10:32.431030,zineb,57327.0,64414.0,7087.0
h,2021-10-20 11:10:32.438117,2021-10-20 11:10:32.513758,zineb,75641.0,82602.0,6961.0
e,2021-10-20 11:10:32.520719,2021-10-20 11:10:32.591944,zineb,71225.0,77348.0,6123.0
[space],2021-10-20 11:10:32.598067,2021-10-20 11:10:32.667841,zineb,69774.0,138065.0,68291.0
l,2021-10-20 11:10:32.736132,2021-10-20 11:10:32.819315,zineb,83183.0,49998.0,-33185.0
a,2021-10-20 11:10:32.786130,2021-10-20 11:10:32.856803,zineb,70673.0,120668.0,49995.0
z,2021-10-20 11:10:32.906798,2021-10-20 11:10:32.972932,zineb,66134.0,78062.0,11928.0
y,2021-10-20 11:10:32.984860,2021-10-20 11:10:33.060590,zineb,75730.0,146100.0,70370.0
[space],2021-10-20 11:10:33.130960,2021-10-20 11:10:33.216145,zineb,85185.0,99013.0,13828.0
d,2021-10-20 11:10:33.229973,2021-10-20 11:10:33.311423,zineb,81450.0,96480.0,15030.0
o,2021-10-20 11:10:33.326453,2021-10-20 11:10:33.403601,zineb,77148.0,125154.0,48006.0
g,2021-10-20 11:10:33.451607,2021-10-20 11:10:33.496084,zineb,44477.0,84621.0,40144.0
[space],2021-10-20 11:10:33.536228,2021-10-20 11:10:33.596561,zineb,60333.0,133636.0,73303.0
w,2021-10-20 11:10:33.669864,2021-10-20 11:10:33.740693,zineb,70829.0,42116.0,-28713.0
h,2021-10-20 11:10:33.711980,2021-10-20 11:10:33.815797,zineb,103817.0,72085.0,-31732.0
i,2021-10-20 11:10:33.784065,2021-10-20 11:10:33.901893,zineb,117828.0,131417.0,13589.0
c,2021-10-20 11:10:33.915482,2021-10-20 11:10:33.998703,zineb,83221.0,48590.0,-34631.0
h,2021-10-20 11:10:33.964072,2021-10-20 11:10:34.039687,zineb,75615.0,172659.0,97044.0
[space],2021-10-20 11:10:34.136731,2021-10-20 11:10:34.205757,zineb,69026.0,144738.0,75712.0
h,2021-10-20 11:10:34.281469,2021-10-20 11:10:34.358408,zineb,76939.0,83154.0,6215.0
a,2021-10-20 11:10:34.364623,2021-10-20 11:10:34.405589,zineb,40966.0,127272.0,86306.0
s,2021-10-20 11:10:34.491895,2021-10-20 11:10:34.574457,zineb,82562.0,88928.0,6366.0
[space],2021-10-20 11:10:34.580823,2021-10-20 11:10:34.633210,zineb,52387.0,123542.0,71155.0
b,2021-10-20 11:10:34.704365,2021-10-20 11:10:34.779969,zineb,75604.0,90451.0,14847.0
e,2021-10-20 11:10:34.794816,2021-10-20 11:10:34.838639,zineb,43823.0,112300.0,68477.0
e,2021-10-20 11:10:34.907116,2021-10-20 11:10:34.984502,zineb,77386.0,58394.0,-18992.0
n,2021-10-20 11:10:34.965510,2021-10-20 11:10:35.034768,zineb,69258.0,158804.0,89546.0
[space],2021-10-20 11:10:35.124314,2021-10-20 11:10:35.170263,zineb,45949.0,101773.0,55824.0
u,2021-10-20 11:10:35.226087,2021-10-20 11:10:35.309118,zineb,83031.0,64262.0,-18769.0
s,2021-10-20 11:10:35.290349,2021-10-20 11:10:35.349112,zineb,58763.0,148766.0,90003.0
e,2021-10-20 11:10:35.439115,2021-10-20 11:10:35.496108,zineb,56993.0,157115.0,100122.0
d,2021-10-20 11:10:35.596230,2021-10-20 11:10:35.649980,zineb,53750.0,64723.0,10973.0
[space],2021-10-20 11:10:35.660953,2021-10-20 11:10:35.722215,zineb,61262.0,110231.0,48969.0
t,2021-10-20 11:10:35.771184,2021-10-20 11:10:35.824175,zineb,52991.0,56004.0,3013.0
o,2021-10-20 11:10:35.827188,2021-10-20 11:10:35.881324,zineb,54136.0,139123.0,84987.0
[space],2021-10-20 11:10:35.966311,2021-10-20 11:10:36.021226,zineb,54915.0,58914.0,3999.0
t,2021-10-20 11:10:36.025225,2021-10-20 11:10:36.105022,zineb,79797.0,40786.0,-39011.0
e,2021-10-20 11:10:36.066011,2021-10-20 11:10:36.146866,zineb,80855.0,151355.0,70500.0
s,2021-10-20 11:10:36.217366,2021-10-20 11:10:36.283148,zineb,65782.0,118245.0,52463.0
t,2021-10-20 11:10:36.335611,2021-10-20 11:10:36.393578,zineb,57967.0,64016.0,6049.0
